Ni6 Pb6 O18,mp-1078668
Mg4 Fe2 B4 Ir10,mp-1188243
Li6 Ca18 Os6 O36,mp-1191787
Sr8 Mn16 V16 O64,mp-1194563
Y4 V4 O12,mp-18883
Sr8 Mn4 Ga4 O20,mp-21302
Ba6 Ni2 Ru4 O18,mp-22363
La8 Cu4 O16,mp-36480
Fe2 H2 O4,mp-510670
Fe2 F4,mp-556911
Cr6 F18,mp-560338
Li6 Ca18 Ru6 O36,mp-6342
Sr4 Tb2 Ir2 O12,mp-6362
Ce4 Fe4 O12,mp-756062
Cr4 In4 O12,mp-756147
La4 Mn4 O12,mp-1180700
Ba8 Mn16 Si16 O56,mp-1196057
Zr2 Cr2 Ag2 S8,mp-1246366
La4 Mn4 O12,mp-17554
Cr4 Ni4 O16,mp-18726
Fe6 C6 O18,mp-18969
Dy4 Cr4 O12,mp-19381
V4 Cr4 O16,mp-19418
Sm4 Fe4 O12,mp-20243
Nd4 Fe4 O12,mp-20407
Dy4 Fe4 O12,mp-22283
Sr4 Tm2 Ru2 O12,mp-542767
K4 Mn4 F12,mp-555359
V2 F6,mp-559931
K2 Ru8 O16,mp-5628
Fe4 S4 O16 F4,mp-1103970
Tb8 Ga36 Ir12,mp-1208535
Sr4 Mn2 Te2 O12,mp-1208762
Sr4 Y2 Ru2 O12,mp-14430
Ca4 Fe8 O16,mp-20547
Ca4 Cr4 O12,mp-20772
Na4 Fe4 O8,mp-21880
Tb2 Mn4 Ge4,mp-22486
Nd4 Co4 O12,mp-22599
Cr8 Bi8 O24,mp-23456
K4 Re2 I12,mp-30216
Mn4 Te4,mp-404
Rb4 Mn4 F16,mp-553981
K4 Mn4 F12,mp-558046
Zr4 Cr4 O12,mp-755055
Zn4 Fe4 H16 O8 F20,mp-763244
La2 Mg2 Fe2 Ag2 O12,mp-1043932
Na4 Os4 O12,mp-1105218
Mg4 V2 B4 Ir10,mp-1105469
Mn10 Si6,mp-1111
K4 Mn4 F12,mp-1180746
K4 Mn4 F12,mp-1180807
La6 Cr6 O18,mp-19357
Sr8 Fe8 O22,mp-21059
Fe4 F12,mp-22398
Pr4 Mn4 O12,mp-22564
Ho4 Ni4 Pb2,mp-3398
Fe4 Cu4 S8,mp-3497
Ni6 F18,mp-561428
Nd2 B4 C4,mp-5765
Na6 Sr18 Ru6 O36,mp-6233
Ca2 La2 Cr4 O12,mp-1048852
Sc4 Mn2 B4 Ir10,mp-1208987
Mn16 Nb8 O36,mp-1222064
Y4 Cr4 O12,mp-18725
Sc4 Cr4 O12,mp-18961
La4 Cr4 O12,mp-19281
Sr4 Lu2 Ru2 O12,mp-20687
Nd4 Mn4 O12,mp-20852
Dy2 Mn4 Ge4,mp-21000
Ba10 Co10 Cl2 O26,mp-23580
Co2 F4,mp-555908
Li2 V4 F12,mp-559701
Sr4 Co2 Te2 O12,mp-561642
Fe6 H8 O4 F16,mp-696951
Tb4 Cr4 O12,mp-756124
Mg4 Mn2 B4 Ir10,mp-1189623
Cr2 Sb2,mp-1641
Mn6 C6 O18,mp-18814
Ni6 C6 O18,mp-19147
Li2 Fe2 P4 O14,mp-19294
Fe12 O18,mp-19770
Na4 Fe4 O8,mp-21060
Ca4 Ir4 O12,mp-4243
Mn2 O4,mp-510408
Li2 Fe4 F12,mp-541669
Ba2 Fe24 O38,mp-554293
Mn2 F4,mp-560902
Ca8 Mn4 Ga4 O20,mp-630403
Li2 La4 Ru2 O12,mp-6644
Ru2 O4,mp-825
Ta4 Fe2 B4,mp-1095076
Ca12 Mn8 O28,mp-19042
Er4 Cr4 O12,mp-19063
Fe6 B6 O18,mp-19097
Cr8 Ni4 O16,mp-19344
Ti6 Mn6 O18,mp-19376
Li18 Fe12 P18 O72,mp-19430
Tb4 Fe4 O12,mp-19853
Co6 C6 O18,mp-21434
Ce2 Mn4 Ge8 O24,mp-21635
Mn4 Mo6 O16,mp-504503
Nb8 Cr2 S16,mp-5306
Co2 F6,mp-559473
Sr4 Ho2 Ru2 O12,mp-6676
Lu4 V4 O12,mp-755583
Nb4 Fe2 B4,mp-1086660
Mg4 Ni2 B4 Ir10,mp-1188248
Ba8 Co4 Ge8 O28,mp-1190827
Cu2 F4,mp-1229
Nb6 V2 S12,mp-15958
Co4 Mo6 O16,mp-17824
Sc4 V2 B4 Ir10,mp-20524
Fe4 Mo6 O16,mp-504974
V16 Cu16 O56,mp-505508
Ba4 Cr4 F20,mp-541031
Nd4 V4 O12,mp-541129
Sr18 Li6 Ru6 O36,mp-6721
Mn6 Si4 Te12,mp-675570
Tm4 V4 O12,mp-755258
Tm4 Cr4 O12,mp-777295
