id,composition,number
mp-1013849,Li24 Fe16 Ge24 O96,230
mp-1044928,La2 Mg2 Cr4 O12,31
mp-1094111,Sr10 Fe10 O28,47
mp-1101709,Na2 Fe24 O38,36
mp-1103939,Mn18 Si21,166
mp-1188480,Mn10 Si6,51
mp-1204904,Nd12 Ru4 O28,11
mp-1209899,Ni4 Mo6 O16,186
mp-1213022,Er4 Rh4 O12,62
mp-1215217,Zr4 Nb4 Cr16,216
mp-1215601,Zr4 Cr6 Si2,194
mp-1218265,Sr1 La3 Cr4 O12,3
mp-1221787,Mn8 Nb3 Si1,156
mp-1223018,La2 Fe4 Pb2 O12,31
mp-1227724,Ca3 Mn4 Bi1 O12,6
mp-1227926,Ca8 Y4 Mn12 O36,62
mp-1235273,Li1 Nd4 Rh4 O12,6
mp-1265277,Ca24 Mn16 Si24 O96,142
mp-1340758,Y4 Cu4 O12,62
mp-1379764,Ca4 V2 Ir2 O12,14
mp-16796,Sr4 Gd2 Ru2 O12,14
mp-20406,Lu16 V16 O56,227
mp-2232127,Ba2 Mg1 Fe4 O8,149
mp-26069,Li12 Fe8 P12 O48,14
mp-33623,Lu16 V16 O52,216
mp-546027,Cr6 Bi6 O18,161
mp-556723,Na24 Fe16 As24 O96,230
mp-561035,Ba2 Fe4 Se8 O24,13
mp-562216,Ba8 Co4 Si8 O28,15
mp-566548,Ba2 Fe36 O54,194
mp-690536,Sr8 Fe8 O22,58
mp-737304,Mn36 Si16 O72,33
mp-754215,Mn16 O4 F24,186
mp-754243,Cr8 O2 F22,5
mp-754602,Fe12 O20 F4,12
mp-754895,Li2 V2 F8,14
mp-757465,Li4 Fe4 P4 O16,33
mp-758208,Li8 Fe8 P16 O56,15
mp-758926,Li8 Fe8 P8 O32,43
mp-759282,Li12 Fe8 P12 O48,18
mp-759590,Fe8 O14 F2,44
mp-775287,Fe20 O2 F38,38
mp-778510,Li4 Fe4 F16,60
mp-780699,V4 O1 F11,3
mp-781049,V16 O4 F44,5
mp-850398,Mn12 O8 F16,65
mp-887367,Fe20 O2 F38,38
mp-1094099,Sr10 Fe10 O27,25
mp-1096967,Fe12 F36,63
mp-1172860,Mn8 Te8,74
mp-1178278,Fe10 O16 F4,14
mp-1178392,Fe16 O24,61
mp-1178903,V4 F12,15
mp-1200659,Ce4 Rh8 O20,62
mp-1207705,Tm4 Rh4 O12,62
mp-1210954,Li2 Sm4 Ru2 O12,14
mp-1211638,Mn24 Ga16 Ge24 O96,230
mp-1214474,Ba4 Fe8 F28,14
mp-1214498,Ca12 Nd32 Ru16 O96,80
mp-1218581,Sr1 Ca3 V4 O12,6
mp-1227410,Ca2 La2 Mn4 O12,11
mp-1227481,Ca4 Nd2 Ru2 O12,7
mp-1233249,Nd4 Mg1 Rh4 O12,6
mp-12449,Li2 Pr4 Os2 O12,14
mp-1247006,Zr4 Cr4 Ag4 S16,59
mp-1247625,Sr3 Ca5 Mn8 O23,6
mp-1247739,Zr4 Cr4 S16,74
mp-1272996,La2 Mn2 O6,55
mp-1287594,Ca8 Co4 Ir4 O24,14
mp-1306506,Ca8 Fe4 Ir4 O24,14
